,Predicted Close
2024-04-28,83.9336593240426
2024-04-29,85.53212744102025
2024-04-30,85.98196887455717
2024-05-01,86.29784430782304
2024-05-02,85.88370789634169
2024-05-03,85.67255443208128
2024-05-04,85.5748784853144
2024-05-05,84.76948136407603
2024-05-06,82.56248852255979
2024-05-07,83.86772216527596
2024-05-08,81.12146633383892
2024-05-09,81.3744721905313
2024-05-10,81.26291624853611
2024-05-11,79.9725743071768
2024-05-12,80.12454919090686
2024-05-13,81.63675084106626
2024-05-14,82.65592526117851
2024-05-15,78.46600061462482
2024-05-16,80.68052485266932
2024-05-17,79.92664844272079
2024-05-18,81.02468597984954
2024-05-19,81.05315794266694
2024-05-20,83.82127298716881
2024-05-21,82.88094113121323
2024-05-22,81.42435484310322
2024-05-23,82.23688824460734
2024-05-24,82.78087949363642
2024-05-25,81.50240271941426
2024-05-26,83.35345666245712
2024-05-27,84.7808969597315
2024-05-28,86.8438020837399
2024-05-29,86.29790974452796
2024-05-30,86.46264199131815
2024-05-31,86.58743801137666
2024-06-01,87.95894540040732
2024-06-02,88.7420021695271
2024-06-03,88.26851199245161
2024-06-04,89.11548653367333
2024-06-05,87.50506839019961
2024-06-06,86.73143659971186
2024-06-07,87.54605617179813
2024-06-08,85.08045246762441
2024-06-09,84.376590348336
2024-06-10,83.58774626951346
2024-06-11,82.85852256019405
2024-06-12,81.89307096390057
2024-06-13,82.61852926888302
2024-06-14,85.21083539790808
2024-06-15,85.07518415560979
2024-06-16,86.02300877126731
2024-06-17,85.70924898108281
2024-06-18,86.349759608731
2024-06-19,85.91604408025749
2024-06-20,88.09972916568458
2024-06-21,88.28621736674734
2024-06-22,88.94181007775262
2024-06-23,89.11142361651416
2024-06-24,88.780211766322
2024-06-25,88.59868182964097
2024-06-26,88.1682397322293
2024-06-27,85.52703542611965
2024-06-28,86.480822909681
2024-06-29,83.32677689482998
2024-06-30,83.88547321440339
2024-07-01,83.6346380633498
2024-07-02,82.41894010176078
2024-07-03,82.6256892536402
2024-07-04,83.94869684054136
2024-07-05,85.23594238610332
2024-07-06,80.55369353957386
2024-07-07,82.86517506739226
2024-07-08,82.11430305298852
2024-07-09,82.95842754270814
2024-07-10,82.77630816810422
2024-07-11,86.56192703858405
2024-07-12,85.43273908799058
2024-07-13,83.94124304492792
2024-07-14,84.55943713937305
2024-07-15,85.43823564196066
2024-07-16,83.67604822145752
2024-07-17,85.29427799582976
2024-07-18,86.74760465198297
2024-07-19,88.83975218966685
2024-07-20,88.5008738738998
2024-07-21,88.8321420109478
2024-07-22,88.50367353707234
2024-07-23,89.55755051544567
2024-07-24,89.81402533976376
2024-07-25,88.33280413408687
2024-07-26,88.79024792969139
2024-07-27,87.58355964284658
2024-07-28,86.69776706824592
2024-07-29,87.18180786476847
2024-07-30,84.91187085953531
2024-07-31,84.5597351794694
2024-08-01,83.91398211983852
2024-08-02,83.84474994001786
2024-08-03,82.58273000391858
2024-08-04,83.32336949379709
2024-08-05,85.44039752783786
